序号,园区名称,入驻企业,园区面积(亩),特色产业,园区位置,所属省,所属市,所属区县
127,康桥高科技园区,111,337.92,,上海市浦东新区康桥东路1258弄12号,上海市,,浦东新区
128,上河商务园,229,334.4671,,上海市浦东新区南芦公路193号,上海市,,浦东新区
129,上海练塘工业园区,14058,331.1952,工业园,上海市青浦区练塘镇章练塘路666号,上海市,,青浦区
130,康桥科技创业园,111,330.44,,,上海市,,浦东新区
131,临港新片区生命科技产业园(生命蓝湾生物医药特色产业园),43,327.41,"生命科学,生物医药,医药",上海市奉贤区正博路,上海市,,奉贤区
132,盛大天地青春里,649,326.86,,,上海市,,浦东新区
133,上海嘉定汽配科技城,133,325,,,上海市,,嘉定区
134,上海金山国际贸易城(海秀路),515,319.87,,上海市金山区海秀路53号,上海市,,金山区
135,市北高新技术服务园区,3499,314.6,,静安区江场三路,上海市,,静安区
136,大场都市工业园区,256,313.7403,工业园,上海市宝山区南大路19号,上海市,,宝山区
137,丽德创业园,224,304.7,,上海市松江区泗泾镇九干路168号,上海市,,松江区
138,上海青浦区移动智地,1314,304.23,,沪青平公路3938弄,上海市,,青浦区
139,上海虹桥商务区,249,301.35,,虹桥协信中心1期,上海市,,闵行区
140,普洛斯宝山物流园,13,299.9786,物流园,上海市宝山区云天路348号,上海市,,宝山区
141,漕河泾浦江科技广场,262,296.93,,上海市闵行区浦江镇陈行公路2388号,上海市,,闵行区
142,张江细胞产业园,140,294.17,,上海市浦东新区周浦镇张江细胞产业园,上海市,,浦东新区
143,白鹤工业园区(鹤祥路),2525,294.14,工业园,上海市青浦区鹤祥路1号,上海市,,青浦区
144,刚泰集团珠光工业园(金闻路),72,293.55,工业园,上海市浦东新区金闻路8,上海市,,浦东新区
145,上海奉贤经济开发区生物科技园区,71523,291.03,生物科技,上海市奉贤区金海公路5885号,上海市,,奉贤区
146,普洛斯工业园,14,288.88,工业园,永兴西路与薛村路交叉口东南约40米,上海市,,松江区
147,上海漕河泾开发区松江高科技园,3053,280.7593,,上海市松江区莘砖公路518号,上海市,,松江区
148,百联奥特莱斯广场,117,275.91,,赵巷镇嘉松中路5399号,上海市,,青浦区
149,上海泗联工业园,77,275.64,工业园,九干公路与打铁桥路交叉口东460米,上海市,,松江区
150,上海通用机械公司泰和路工业厂区,567,275.34,,上海市宝山区泰和路1011号,上海市,,宝山区
151,LM虹桥世界中心,412,271.6,,诸光路1588弄,上海市,,青浦区
152,名企公馆·新桥艺术园区,273,270.7804,艺术,上海市松江区新桥镇泗砖南路255弄名企公馆,上海市,,松江区
153,富民经济区,3482,270.3032,,上海市青浦区朱枫公路6168弄1-41号,上海市,,青浦区
154,上海外联发D11工业园区(美盛路),3243,269.24,工业园,上海市浦东新区美盛路225号,上海市,,浦东新区
155,上海服装服饰市场,6604,267.56,服装,,上海市,,静安区
156,普洛斯洞泾物流园,14,266.2784,物流园,上海市松江区洞薛路885号,上海市,,松江区
157,上海外联发D2工业园区,4503,265.88,工业园,上海市浦东新区外高桥保税区富特北路200号,上海市,,浦东新区
158,张江集电港,525,264.67,,,上海市,,浦东新区
159,大宁中心广场,4389,263.82,,上海市静安区灵石路718号,上海市,,静安区
160,康桥科技创业园区,111,262.9966,,上海市浦东新区康桥东路1300弄1388号,上海市,,浦东新区
161,保集e智谷,167,261.1513,,上海市宝山区富联二路177弄,上海市,,宝山区
162,上海普天工业园,24,255.32,工业园,上海市奉贤区沪杭公路1288号,上海市,,奉贤区
163,上海浦东软件园(居里路),3373,250.3186,IT软件,上海市浦东新区郭守敬路498号,上海市,,浦东新区
164,华新国际高端制造业园区,5,249.3963,,上海市青浦区华志路1129号,上海市,,青浦区
165,三枪工业城,5,248.95,,上海市浦东新区康梧路519号,上海市,,浦东新区
166,国际传媒港,65,248.8,,龙腾大道2171号,上海市,,徐汇区
167,世纪汇广场,1419,248.3,,,上海市,,浦东新区
168,上海北郊未来产业园,12251,247,,云洲路与地杰路交叉口西南约20米,上海市,,宝山区
169,上海外联发D5工业园区,1377,245.46,工业园,富特北路与日京路交叉口西北160米,上海市,,浦东新区
170,龙工(上海)工业园,10,242.0009,工业园,上海市松江区新桥镇,上海市,,松江区
171,九星市场家装文化创意园,39,241.32,"文化,文化创意",上海市青浦区华新镇嘉松中路4451弄8号,上海市,,青浦区
172,上海奉贤海虾淡养示范区,6,238.54,,上海市奉贤区庄行路651号,上海市,,奉贤区
173,松江工业区高新技术产业园区,141,236.4523,,上海市松江区美能达路503号,上海市,,松江区
174,川沙国际精工园,1597,236.036,,上海市浦东新区川沙路6999号,上海市,,浦东新区
175,张江国创中心,169,234.34,,上海市浦东新区丹桂路799、899、999号,上海市,,浦东新区
176,上海歆翱产业园,92,233.94,,,上海市,,浦东新区
177,上海漕河泾开发区松江新兴产业园,1057,233.78,新兴产业,上海市松江区民益路201号,上海市,,松江区
178,上海伦明工业园,202,232.6243,工业园,上海市闵行区马桥镇中辉路60号,上海市,,闵行区
179,万祥标准厂房区,19507,231.3263,,上海市浦东新区宏祥北路83弄1-42号,上海市,,浦东新区
180,鼎信集团工业园,6,230.9172,工业园,上海市奉贤区浦卫公路9855号,上海市,,奉贤区
181,上海凯泉工业园,5,230.89,工业园,上海市嘉定区曹安公路4255号,上海市,,嘉定区
182,菜鸟网络(上海嘉定园区),6,230.06,,上海市嘉定区嘉朱公路2333号,上海市,,嘉定区
183,智英科技中心,29,229.99,,海洋二路88弄1-38号,上海市,,浦东新区
184,金桥现代产业服务园区,2128,229.35,,上海市浦东新区新金桥路27号,上海市,,浦东新区
185,同盛物流园区,53,229,物流园,洋浩路与天宇路交叉口东300米,上海市,,浦东新区
186,聚诚创业园,995,228.96,,,上海市,,浦东新区
187,陆家嘴软件园,712,227.9903,IT软件,上海市浦东新区峨山路91弄,上海市,,浦东新区
188,新佘山经济园区,32,227.9,,上海市松江区佘山镇沈砖公路4629号,上海市,,松江区
189,张江集电港·科技领袖之都-西区,74,227.16,,张东路1388号,上海市,,浦东新区
190,上海外联发D1工业园区,1770,225.89,工业园,上海市浦东新区富特西一路与菲拉路交叉口东南约160米,上海市,,浦东新区
191,海湾商务办公区,944,224.69,,,上海市,,虹口区
192,金山第二工业区经济小区,1164,224.66,,上海市金山区金一东路1号南楼1层,上海市,,金山区
193,吴淞生态产业园,477,223.3,,上海市宝山区杨行镇铁力路785号9号楼A101,上海市,,宝山区
194,联东U谷南区(上海海峡两岸青年创业基地),5534,221.98,,上海市金山区夏宁路818弄62号,上海市,,金山区
195,浦江智慧广场,98,219.59,,浦江镇陈行公路上海建工四建2大门,上海市,,闵行区
196,普洛斯合庆物流园,24,219.1878,物流园,上海市浦东新区合庆镇东胜路229益嘉物流有限公司,上海市,,浦东新区
197,临港智造·玉兰园,899,218.65,智能制造,上海市奉贤区海湾镇两港西大道与正博路交叉口正博路1881号,上海市,,奉贤区
198,外高桥汽车主题产业园,18,218.44,汽车,上海市浦东新区俱进路1007号东南方向70米,上海市,,浦东新区
199,上海安亭国际汽车城,3141,218.39,汽车,墨玉南路888号,上海市,,嘉定区
200,上海漕河泾综合保税区(三号路),188,215.21,保税区,上海市闵行区浦江镇浦星公路789号,上海市,,闵行区
201,上海海港商贸城,3983,213.83,,平安镇新四平公路468弄,上海市,,奉贤区
202,七欣科工业园,220,213.7,工业园,九亭涞寅路1881号,上海市,,松江区
203,上海科创板企业总部园,105,213,,萧云路865号,上海市,,宝山区
204,大宁德必易园,303,212.8116,,上海市静安区彭江路602号,上海市,,静安区
205,浦江智谷,355,212.73,,,上海市,,闵行区
206,新发展19号园区,36,212,,上海市浦东新区德堡路379号,上海市,,浦东新区
207,普轩智创服务产业园,8,211.62,,北盈路99号,上海市,,青浦区
208,大麦湾工业园区,886,207.87,工业园,上海市浦东新区航吉路8号附近,上海市,,浦东新区
209,湾谷科技园,974,205.6809,,上海市杨浦区国权北路1688弄,上海市,,杨浦区
210,临港五四汽配产业园,78,205.63,,海湾镇燎钦公路1288号,上海市,,奉贤区
211,华域汽车创新园,7,204.86,汽车,上海市宝山区金石路881号,上海市,,宝山区
212,中联重科上海工业园(缤纷路),19,204.3931,工业园,上海市松江区松江工业区缤纷路297号,上海市,,松江区
213,上海马陆丰登工业园,138,204.0958,工业园,上海市嘉定区丰登路615号15号楼,上海市,,嘉定区
214,科大智能机器人产业园西区,64,203.8353,机器人,上海市松江区泗砖公路777号,上海市,,松江区
215,光塑科技园,44,202.7263,,上海市松江区昆港公路1088号,上海市,,松江区
216,中兴智慧园,95,202.55,,张江高科技园区碧波路889号,上海市,,浦东新区
217,企福新尚科技园,155,201.4445,,上海市松江区联营路615号,上海市,,松江区
218,星月·大业领地(上海松江企业总部园),271,199.57,,广富林路4855弄大业领地,上海市,,松江区
219,上海人本工业园,5,199.3833,工业园,上海市奉贤区奉城镇神州路1155号,上海市,,奉贤区
220,普洛斯外高桥物流园,19,199.0785,物流园,上海市浦东新区外高桥保税区英伦路999号,上海市,,浦东新区
221,上海龙洋工业园区,104,198.5935,工业园,上海市奉贤区奉浦社区东北路1515号,上海市,,奉贤区
222,上海双柏工业园,62,197.89,工业园,,上海市,,闵行区
223,新飞企业家园,97,197.4355,,上海市松江区松江工业区车墩镇申港路3802号C7座,上海市,,松江区
224,财富天地(都会路),253,194.79,,都会路2338号,上海市,,闵行区
225,上海外联发D12工业园区,976,193.01,工业园,上海市浦东新区泰谷路205-213号,上海市,,浦东新区
226,电气文通·709媒体园区,852,192.01,电气,上海市静安区彭浦镇灵石路709号,上海市,,静安区
227,上海外联发D6工业园区,8250,191.78,工业园,上海市浦东新区富特北路201-239号,上海市,,浦东新区
228,闵联临港园区三期标准厂房,9,190.32,,飞渡路1568号,上海市,,浦东新区
229,汽车·创新港,69,189.1186,汽车,上海市嘉定区安拓路56弄,上海市,,嘉定区
230,上海美宝科技创业园区,39,189.07,,上海市金山区漕泾镇平业路8-88,上海市,,金山区
231,F20工业小区,87,188.9308,,上海市浦东新区德林路368号,上海市,,浦东新区
232,东华环球石文化产业园,250,187.7063,文化,上海市嘉定区安亭镇曹安公路4058号,上海市,,嘉定区
233,上汽大众汽车有限公司发动机一厂区,7,187.52,汽车,,上海市,,嘉定区
234,罗森宝现代创业城(印象钢谷),17,187.22,,潘泾路4333号,上海市,,宝山区
235,上海歆翱产业园(康杉路),91,184.5246,,上海市浦东新区康杉路与康花路交叉口南100米,上海市,,浦东新区
236,瀚翔京东智能产业园,63,184.42,,朱周路与嘉朱公路交叉口西南60米,上海市,,嘉定区
237,临港产业制造园(层林路),10,183.7153,,上海市浦东新区泥城镇层林路1555号,上海市,,浦东新区
238,上海国际汽车城科技创新港,68,183.17,汽车,,上海市,,嘉定区
239,翡翠园,19,183.11,,南汇新城镇江山路2699弄上海临港产业区,上海市,,浦东新区
240,外滩3-18号,1354,182.41,,中山东一路,上海市,,黄浦区
241,上海广电电气工业园,39,182.3607,"电气,工业园",上海市奉贤区环城东路123弄-1号,上海市,,奉贤区
242,漕河泾康桥商务绿洲,235,180.7316,,上海市浦东新区秀浦路2555号,上海市,,浦东新区
243,新华都市工业园区,134,180.6013,工业园,上海市宝山区逸仙路4318号新华造纸厂,上海市,,宝山区
244,古北国际财富中心,808,178.97,,虹桥路1438号上海高岛屋百货1F层,上海市,,长宁区
245,九陌创新工业集聚园,20,178.45,,上海市青浦区华蔡路688号附近,上海市,,青浦区
246,金领之都(金海路),314,177.49,,上海市浦东新区金桥经济技术开发区金海路1000号43号楼1F,上海市,,浦东新区
247,中国(上海)自由贸易试验区生物医药园,18,177.22,"生物医药,医药",外高桥保税区外高桥自贸区美约路222号,上海市,,浦东新区
248,智慧湾科创园,764,176.3055,,上海市宝山区蕰川路6号,上海市,,宝山区
249,临港信兴产业园E区,53,175.7,,上海市浦东新区飞渡路66号,上海市,,浦东新区
250,松江天安金谷,30,174.92,,文松路223号,上海市,,松江区
251,上海百得工业园,100,174.0447,工业园,上海市嘉定区丰年路885-887,上海市,,嘉定区
252,上海市榕基产业园,19,173.29,,文松路,上海市,,松江区
253,天安金谷科技园,19,173.29,,文松路223号,上海市,,松江区
254,静安南大工业园区,24,173.174,工业园,上海市宝山区南陈路82弄-127、135号,上海市,,宝山区
255,上海兰田(崇明)智慧产业园,9,172.4183,,上海市崇明区中街山路988号,上海市,,崇明区
256,嘉定工业区畅汇园区(兴邦路),508,172.35,,上海市嘉定区嘉定工业区兴邦路755号,上海市,,嘉定区
257,上海临港软件园,1201,171.65,IT软件,环湖西一路99号,上海市,,浦东新区
258,上海市郊都市型工业南翔园,1402,170.4236,,上海市嘉定区蕴北公路1755弄,上海市,,嘉定区
259,聚诚创业园(申江路),70,169.0679,,上海市浦东新区秀浦路3999弄,上海市,,浦东新区
260,佘山都市型工业园,2685,168.7197,工业园,上海市松江区沈砖公路3129弄,上海市,,松江区
261,虹桥国际展汇,2464,167.33,,申昆路2377号,上海市,,闵行区
262,上海普嘉卡班物流园,572,165.6779,物流园,上海市青浦区华新镇嘉松中路1099号佳施物流,上海市,,青浦区
263,上海外联发D9工业园区,435,165.6535,工业园,上海市浦东新区富特北路516-528号,上海市,,浦东新区
264,枫林科创园,342,165.19,,上海市徐汇区宜山路700号,上海市,,徐汇区
265,科技绿洲3期,395,164.7374,,上海市闵行区田林路1016号,上海市,,闵行区
266,临港国际光仪电科技园,62,163.7204,,上海市浦东新区新元南路600号,上海市,,浦东新区
267,紫竹科学园区,5654,163.51,,上海市闵行区东川路555号2号楼,上海市,,闵行区
268,上海纺织产业(金山)工业园区,5,163.43,"纺织,工业园,轻纺",上海市金山区建安路78号,上海市,,金山区
269,芬华创新中心(张江微电子港办公空间),255,163,电子,张江碧波路690号,上海市,,浦东新区
270,必翔影像科技产业园,68,162.66,,上海市闵行区浦江镇竹园路559号,上海市,,闵行区
271,上海新曹杨工业园区,335,162.64,工业园,上海市普陀区金沙江路1340弄2号,上海市,,普陀区
272,华平(金山)智造园,17,161.7561,智能制造,上海市金山区金山工业区金舸路288号,上海市,,金山区
273,上海国际医学园区医谷现代商务园,376,161.53,,周浦镇广丹路222弄21号楼,上海市,,浦东新区
274,复华中日医疗健康产业基地,5,161.1,"健康,医疗",上海市嘉定区城北路1585号,上海市,,嘉定区
275,上海金领谷科技产业园,1701,160.3039,,上海市闵行区元江路525号,上海市,,闵行区
276,荣升园区,12,159.07,,漕泾镇展业路299号,上海市,,金山区
277,联东U谷松江科技企业创新港,59,159.02,,上海市松江区车墩镇北松公路5355弄,上海市,,松江区
278,创研智造,2158,159,智能制造,上海市浦东新区康桥秀浦路3188弄,上海市,,浦东新区
279,华东理工大学国家大学科技园,11,158.28,国家大学,上海市金山区学府路1300号,上海市,,金山区
280,上海优乐加城市工业园(金辉路),64,158.1857,工业园,上海市闵行区朱建路333弄,上海市,,闵行区
281,南方国际南部商务区,75,157.4775,,上海市奉贤区南桥镇金海公路1611弄南方国际,上海市,,奉贤区
282,南翔智地·越界产业园,113,157.1541,,上海市嘉定区嘉定镇沪宜公路1101号,上海市,,嘉定区
283,华滨工业园,50,155.2978,工业园,上海市松江区松江工业区华加路99号,上海市,,松江区
284,新业坊源创全球科创示范区,625,154.8,,上海市宝山区逸仙路1328号,上海市,,宝山区
285,维超物流园,14966,154.49,物流园,上海市奉贤区南桥镇肖湾路511号,上海市,,奉贤区
286,近浦工业园区,47,154.15,工业园,上海市闵行区塘浦路623号,上海市,,闵行区
287,财富兴园·国际企业公园,140,154.09,,上海市松江区泖亭路188弄36号,上海市,,松江区
