电视台
cctv,https://tv.cctv.cn/live/
绵阳科技频道,#
绵阳教育资讯,#
绵阳党员教育,#
CDTV1新闻综合,#
CDTV2经济资讯,#
CDTV3都市生活,#
CDTV4影视文艺,#
CDTV5公共频道,#
CDTV6少儿频道,#
成都食尚频道,#
成都美食天府,#
成都每日购物,#
成都蓉城先锋,#
成都资讯新干线,#
成都汽车频道,#
自贡综合频道,#
自贡公共频道,#
宜宾新闻综合,#
宜宾公共频道,#
遂宁综合频道,#
遂宁公共频道,#
乐山新闻综合,#
广元新闻综合,#
广元公共频道,#
广元影视频道,#
广元科教频道,#
巴中综合频道,#
巴中公共频道,#
德阳新闻综合,#
德阳公共频道,#
南充新闻综合,#
南充公共频道,#
南充科教频道,#
广安新闻综合,#
广安公共频道,#
眉山综合频道,#
眉山公共频道,#
雅安新闻综合,#
雅安公共频道,#
雅安雨城频道,#
泸州1新闻综合,#
泸州2公共频道,#
泸州3科教频道,#
攀枝花新闻综合,#
攀枝花公共频道,#
仪陇新闻综合,#
内江综合频道,#
内江公共频道,#

贵州
贵州卫视,#
贵州公共频道,#
贵州影视文艺,#
贵州大众生活,#
贵州5频道,#
贵州科教健康,#
贵州移动电视,#
天元围棋频道,#
贵州家有购物,#
贵阳新闻综合,#
贵阳经济频道,#
贵阳法制频道,#
贵阳都市频道,#
贵阳旅游生活,#
黔西南综合频道,#
黔南新闻综合,#
黔南都市频道,#
安顺1新闻综合,#
安顺2公共频道,#
铜仁1新闻综合,#
铜仁2公共频道,#
遵义新闻综合,#
毕节电视台,#
七星关电视台,#
六盘水电视台,#

云南
云南卫视,#
云南都市频道,#
云南公共频道,#
云南国际频道,#
云南娱乐频道,#
云南少儿频道,#
昆明1新闻综合,#
昆明2经济生活,#
昆明3科教频道,#
昆明4文娱频道,#
昆明5影视综艺,#
昆明6公共频道,#
丽江新闻综合,#
丽江公共频道,#
滁州新闻综合,#
滁州公共频道,#
滁州科教频道,#
楚雄新闻频道,#
楚雄公共频道,#
红河1新闻频道,#
红河2经济生活,#
蒙自电视台,#
绿春电视台,#
个旧电视台,#
屏边电视台,#
河口电视台,#
元阳电视台,#
红河县电视台,#
保山电视台一套,#
保山电视台二套,#
保山电视台三套,#
玉溪新闻综合,#
玉溪公共频道,#
澄江电视台,#
文山新闻综合,#
文山公共频道,#
马关电视台,#
富宁电视台,#
西畴电视台,#
麻栗坡电视台,#
丘北电视台,#
砚山电视台,#
西双版纳一套,#
西双版纳二套,#
绥江电视台,#

陕西
陕西卫视,#
陕西农林卫视,#
陕西新闻频道,#
陕西都市频道,#
陕西生活频道,#
陕西公共频道,#
陕西秦腔频道,#
陕西体育休闲,#
西安丝路频道,#
西安1新闻综合,#
西安2白鸽都市,#
西安3商务资讯,#
西安4文化影视,#
西安6购物频道,#
榆林电视台一套,#
榆林电视台二套,#
咸阳电视台一套,#
延安1新闻综合,#
延安2公共频道,#
渭南1新闻频道,#
渭南2公共频道,#
渭南3都市频道,#
渭南4公共教育,#
渭南5临渭频道,#
宝鸡1新闻综合,#
宝鸡2经济生活,#
横山电视台,#

甘肃
甘肃卫视,#
甘肃都市频道,#
甘肃公共频道,#
甘肃经济频道,#
甘肃文化影视,#
甘肃少儿频道,#
甘肃移动电视,#
甘肃品质生活,#
兰州新闻综合,#
兰州经济频道,#
兰州公共频道,#
兰州综艺体育,#
嘉峪关综合频道,#
嘉峪关公共频道,#
酒泉电视台,#
庆阳新闻综合,#
庆阳公共频道,#
天水综合频道,#
天水公共频道,#
金昌综合频道,#
金昌公共频道,#
平凉电视台,#

青海
青海卫视,#
安多卫视,#
青海都市频道,#
青海生活频道,#
西宁新闻综合,#
西宁生活频道,#
海南州电视台,#
海西综合频道,#
玉树电视台,#

宁夏
宁夏卫视,#
宁夏公共频道,#
宁夏经济频道,#
宁夏影视频道,#
宁夏少儿频道,#
银川公共频道,#
银川生活频道,#
吴忠电视台,#

厦门
厦门卫视,#
厦门电视台一套,#
厦门电视台二套,#
厦门电视台三套,#
XM6厦门移动电视,#

新疆
XJTV-1 新疆卫视,#
兵团卫视,#
XJTV-2 维吾尔语新闻,#
XJTV-3 哈萨克语新闻,#
XJTV-4 汉语综艺,#
XJTV-5 维吾尔语综艺,#
XJTV-7 汉语经济生活,#
XJTV-8 哈萨克语综艺,#
XJTV-9 维吾尔语经济,#
XJTV-10 汉语体育健康,#
XJTV-11 汉语法制信息,#
XJTV-12 新疆少儿,#
克拉玛依一套,#
克拉玛依二套,#
乌鲁木齐电视台,#

海南
三沙卫视,#
海南卫视,#
海南经济频道,#
海南新闻频道,#
海南文旅频道,#
海南公共频道,#
海南少儿频道,#
海口-1,#
海口-2,#
海口-3,#
三亚电视台,#

西藏
西藏卫视,#
西蔵藏语卫视,#

黑龙江
黑龙江卫视,#
黑龙江新闻法治,#
黑龙江影视,#
黑龙江都市,#
黑龙江公共农业,#
黑龙江文体,#
黑龙江农垦,#
黑龙江少儿,#
哈尔滨都市资讯,#
哈尔滨生活频道,#
哈尔滨娱乐频道,#
哈尔滨影视频道,#
哈尔滨新闻综合,#
哈尔滨天鹅购物,#
大庆综合频道,#
大庆公共频道,#
大庆教育频道,#
伊春新闻综合,#
齐齐哈尔1新闻综合,#
齐齐哈尔2公共频道,#
鹤岗新闻综合,#
鹤岗公共频道,#
七台河新闻综合,#
牡丹江新闻综合,#
北大荒农业频道,#

内蒙古
内蒙古卫视,#
蒙古语卫视,#
蒙古语文化,#
内蒙古新闻综合,#
内蒙古经济生活,#
内蒙古文体娱乐,#
内蒙古农牧频道,#
内蒙古少儿频道,#
呼和浩特新闻综合,#
呼和浩特都市生活,#
呼和浩特影视娱乐,#
包头新闻综合,#
包头生活服务,#
包头经济频道,#
赤峰1新闻综合,#
赤峰2影视娱乐,#
赤峰3经济服务,#
鄂尔多斯电视台,#

直播链接
北京纪实,http://58.34.204.67:9901/tsfile/live/1002_1.m3u8
上海纪实,http://58.34.204.67:9901/tsfile/live/1013_1.m3u8
上海都市,http://58.34.204.67:9901/tsfile/live/1017_1.m3u8
东方影视,http://58.34.204.67:9901/tsfile/live/1016_1.m3u8
上海新闻,http://58.34.204.67:9901/tsfile/live/1015_1.m3u8
上海外语,http://58.34.204.67:9901/tsfile/live/1019_1.m3u8
生活时尚,http://58.34.204.67:9901/tsfile/live/1020_1.m3u8
第一财经,http://58.34.204.67:9901/tsfile/live/1018_1.m3u8
家庭影院,http://58.34.204.67:9901/tsfile/live/1001_1.m3u8
魅力足球,http://58.34.204.67:9901/tsfile/live/1004_1.m3u8
动作电影,http://58.34.204.67:9901/tsfile/live/1005_1.m3u8
都市剧场,http://58.34.204.67:9901/tsfile/live/1008_1.m3u8
动漫秀场,http://58.34.204.67:9901/tsfile/live/1009_1.m3u8
新视觉,http://58.34.204.67:9901/tsfile/live/1011_1.m3u8
欢笑剧场,http://58.34.204.67:9901/tsfile/live/1012_1.m3u8
五星体育,http://58.34.204.67:9901/tsfile/live/1014_1.m3u8
游戏风云,http://58.34.204.67:9901/tsfile/live/1006_1.m3u8
幸福彩,http://58.34.204.67:9901/tsfile/live/1007_1.m3u8
CCTV3,http://58.34.204.67:9901/tsfile/live/0003_1.m3u8
CCTV2,http://58.34.204.67:9901/tsfile/live/0002_1.m3u8
6号[768*576],http://58.34.204.67:9901/tsfile/live/0006_1.m3u8
CCTV5,http://58.34.204.67:9901/tsfile/live/0005_1.m3u8
CCTV7,http://58.34.204.67:9901/tsfile/live/0007_1.m3u8
CCTV8,http://58.34.204.67:9901/tsfile/live/0008_1.m3u8
CCTV1,http://58.34.204.67:9901/tsfile/live/0001_1.m3u8
CCTV4,http://58.34.204.67:9901/tsfile/live/0004_1.m3u8
CCTV9,http://58.34.204.67:9901/tsfile/live/0009_1.m3u8
10号[768*576],http://58.34.204.67:9901/tsfile/live/0010_1.m3u8
11号[768*576],http://58.34.204.67:9901/tsfile/live/0011_1.m3u8
12号[768*576],http://58.34.204.67:9901/tsfile/live/0012_1.m3u8
14号[768*576],http://58.34.204.67:9901/tsfile/live/0014_1.m3u8
13号[768*576],http://58.34.204.67:9901/tsfile/live/0013_1.m3u8
15号[768*576],http://58.34.204.67:9901/tsfile/live/0015_1.m3u8
东方卫视,http://58.34.204.67:9901/tsfile/live/0107_1.m3u8
四川卫视,http://58.34.204.67:9901/tsfile/live/0123_1.m3u8
124号[768*576],http://58.34.204.67:9901/tsfile/live/0124_1.m3u8
128号[768*576],http://58.34.204.67:9901/tsfile/live/0128_1.m3u8
北京卫视,http://58.34.204.67:9901/tsfile/live/0122_1.m3u8
安徽卫视,http://58.34.204.67:9901/tsfile/live/0130_1.m3u8
山东卫视,http://58.34.204.67:9901/tsfile/live/0131_1.m3u8
江苏卫视,http://58.34.204.67:9901/tsfile/live/0127_1.m3u8
深圳卫视,http://58.34.204.67:9901/tsfile/live/0126_1.m3u8
天津卫视,http://58.34.204.67:9901/tsfile/live/0135_1.m3u8
黑龙江卫视,http://58.34.204.67:9901/tsfile/live/0143_1.m3u8
湖南卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/hnwshd/4000000/mnf.m3u8
东南卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/dnwshd/4000000/mnf.m3u8
天津卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/tjwshd/4000000/mnf.m3u8
黑龙江卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/hljwshd/4000000/mnf.m3u8
BesTV体育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/hdnba7/4000000/mnf.m3u8
生活时尚,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/shsshd/4000000/mnf.m3u8
极速汽车,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jsqchd/4000000/mnf.m3u8
游戏风云,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/yxfyhd/4000000/mnf.m3u8
CCTV1,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV3,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV5,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV5+,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv5phd/4000000/mnf.m3u8
CCTV6,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV8,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv8hd/4000000/mnf.m3u8
CCTV10,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv10hd/4000000/mnf.m3u8
CCTV14,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctvsehd/4000000/mnf.m3u8
上海外语,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/wypdhd/4000000/mnf.m3u8
